"Usia : ","Gen","Domisili :","Jenis kelamin :","Pendapatan perbulan :","Status pernikahan :","Pekerjaan :","1. Super App Perbankan mana saja yang Kamu gunakan :","3. Seberapa 2 Kamu menggunakan Super App Perbankan tersebut ?","5. Fitur apa saja 2 Kamu gunakan dari Super App Perbankan tersebut ?","6. Permasalahan apa saja yang 2 Kamu alami saat menggunakan Super App Perbankan ?"
"42","1","Tangerang Selatan ","Female","5000000-10000000","1","Karyawan Swasta","BNI Mobile Banking","2","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet","Eror saat bertransaksi"
"40","1","Jakarta","Female","20000000-35000000","0","Other","Octo Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"43","0","Tangerang Selatan ","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"32","1","Bogor","Female","<5000000","1","Ibu Rumah Tangga","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"53","0","Jakarta","Female","5000000-10000000","1","Other","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Jaringan yang sulit untuk provider tertentu"
"56","0","Jakarta","Male","20000000-35000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"56","0","Jakarta","Female","20000000-35000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Jaringan yang sulit untuk provider tertentu"
"51","0","Jakarta","Male",">35000000","1","Wirausahawan","BNC","2","Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"49","0","Depok","Male",">35000000","1","Karyawan Swasta","BNI Mobile Banking","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Jaringan yang sulit untuk provider tertentu"
"30","1","Bandung","Female","<5000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Terlalu banyaknya proses pada satu aktivitas transaksi"
"54","0","Sleman ","Male",">35000000","0","Karyawan Swasta","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"49","0","Jakarta","Male",">35000000","1","Karyawan Swasta","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"58","0","Manado","Female","20000000-35000000","0","Wirausahawan","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Jaringan yang sulit untuk provider tertentu"
"40","1","Jakarta","Male","5000000-10000000","1","Polisi/TNI","BriMo","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Jaringan yang sulit untuk provider tertentu"
"49","0","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","0","Pembayaran atau Pembelian","Jaringan yang sulit untuk provider tertentu"
"19","2","Malang","Female","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet","Other"
"53","0","Bandar Lampung","Female","10000000-20000000","1","PNS","BNI Mobile Banking","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"22","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","JakOne","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"18","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","BNI Mobile Banking","1","Transfer Uang, Cek Saldo dan Mutasi Rekening","Eror saat bertransaksi"
